/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:14:32,347 root         DEBUG    edge_16_07_01: Executing...
2025-08-05 21:14:32,347 root         DEBUG    edge_39_01_01: Status.WAITING
2025-08-05 21:14:32,348 root         DEBUG    edge_39_02_01: Status.WAITING
2025-08-05 21:14:32,349 root         DEBUG    edge_24_02_01: Status.RUNNING
2025-08-05 21:14:32,349 root         DEBUG    edge_39_03_01: Status.WAITING
2025-08-05 21:14:32,350 root         DEBUG    edge_39_04_01: Status.WAITING
2025-08-05 21:14:32,351 root         DEBUG    edge_39_05_01: Status.WAITING
2025-08-05 21:14:32,352 root         DEBUG    edge_39_06_01: Status.WAITING
2025-08-05 21:14:32,353 root         DEBUG    edge_24_03_01: Status.RUNNING
2025-08-05 21:14:32,353 root         DEBUG    edge_16_08_01: Executing...
2025-08-05 21:14:32,353 root         DEBUG    edge_39_07_01: Status.WAITING
2025-08-05 21:14:32,356 root         DEBUG    edge_24_04_01: Status.RUNNING
2025-08-05 21:14:32,357 root         DEBUG    edge_39_08_01: Status.WAITING
2025-08-05 21:14:32,359 root         DEBUG    edge_39_09_01: Status.WAITING
2025-08-05 21:14:32,360 root         DEBUG    edge_4_09_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472270-edge_4_09_01
2025-08-05 21:14:32,361 root         DEBUG    edge_39_10_01: Status.WAITING
2025-08-05 21:14:32,361 root         DEBUG    edge_8_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472271-edge_8_04_01
2025-08-05 21:14:32,361 root         DEBUG    edge_24_05_01: Status.RUNNING
2025-08-05 21:14:32,362 root         DEBUG    edge_39_11_01: Status.WAITING
2025-08-05 21:14:32,363 root         DEBUG    edge_40_01_01: Status.WAITING
2025-08-05 21:14:32,364 root         DEBUG    edge_4_11_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472276-edge_4_11_01
2025-08-05 21:14:32,364 root         DEBUG    edge_40_02_01: Status.WAITING
2025-08-05 21:14:32,365 root         DEBUG    edge_16_09_01: Executing...
2025-08-05 21:14:32,366 root         DEBUG    edge_4_10_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472274-edge_4_10_01
2025-08-05 21:14:32,368 root         DEBUG    edge_24_06_01: Status.RUNNING
2025-08-05 21:14:32,371 root         DEBUG    edge_40_03_01: Status.WAITING
2025-08-05 21:14:32,372 root         DEBUG    edge_8_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472279-edge_8_01_01
2025-08-05 21:14:32,373 root         DEBUG    edge_40_04_01: Status.WAITING
2025-08-05 21:14:32,374 root         DEBUG    edge_24_07_01: Status.RUNNING
2025-08-05 21:14:32,374 root         DEBUG    edge_4_07_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472264-edge_4_07_01
2025-08-05 21:14:32,375 root         DEBUG    edge_40_05_01: Status.WAITING
2025-08-05 21:14:32,375 root         DEBUG    edge_4_08_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472268-edge_4_08_01
